city,transmission,owner_no,brand,model,model_year,variant_name,price,registered_year,fuel_type,kms_driven,engine_cc,mileage_kmpl,car_age,mileage_normalized,brand_popularity,age_group,high_mileage
hyderabad,automatic,1,honda,honda amaze,2016,s cvt petrol,565000.0,2016,petrol,80000,1199,18.3,8,2.2875,624483.4192037471,old,0
hyderabad,manual,1,maruti,maruti swift,2017,vdi optional,608000.0,2018,diesel,58006,1248,25.2,6,4.2,504649.26094808127,mid-age,1
hyderabad,automatic,1,maruti,maruti swift,2019,amt vxi,725000.0,2019,petrol,64000,1197,21.21,5,4.242,504649.26094808127,mid-age,0
hyderabad,manual,2,honda,honda brio,2014,s mt,369000.0,2014,petrol,50670,1198,19.4,10,1.94,624483.4192037471,old,0
hyderabad,automatic,2,hyundai,hyundai santro,2020,sportz amt,508000.0,2020,petrol,41058,1086,20.3,4,5.075,605200.0006153847,mid-age,0
hyderabad,manual,1,renault,renault duster,2013,85ps diesel rxe,360000.0,2013,diesel,120000,1461,20.45,11,1.8590909090909091,536132.6860841424,old,0
hyderabad,manual,2,maruti,maruti wagon r stingray,2014,vxi,399000.0,2014,petrol,56367,998,20.51,10,2.051,504649.26094808127,old,0
hyderabad,manual,1,hyundai,hyundai venue,2019,s turbo,920000.0,2019,petrol,41000,998,18.27,5,3.654,605200.0006153847,mid-age,0
hyderabad,manual,1,hyundai,hyundai i20,2019,sportz plus bsiv,740000.0,2019,petrol,40000,1197,18.6,5,3.72,605200.0006153847,mid-age,0
hyderabad,automatic,1,hyundai,hyundai grand i10,2016,magna at,625000.0,2016,petrol,16000,1197,18.9,8,2.3625,605200.0006153847,old,0
hyderabad,automatic,1,maruti,maruti celerio,2016,zxi at optional,450000.0,2016,petrol,69900,998,23.1,8,2.8875,504649.26094808127,old,1
hyderabad,manual,1,honda,honda city,2016,i vtec vx option,650000.0,2016,petrol,120000,1497,17.8,8,2.225,624483.4192037471,old,0
hyderabad,manual,1,tata,tata tiago,2016,1.2 revotron xz,450000.0,2016,petrol,95000,1199,23.84,8,2.98,748643.1780487805,old,1
hyderabad,automatic,1,audi,audi a3,2018,35 tdi premium plus,2445000.0,2019,diesel,35000,1968,20.38,5,4.076,2350864.5161290322,mid-age,0
hyderabad,automatic,1,honda,honda city,2014,i vtec cvt sv,675000.0,2014,petrol,66000,1497,18.0,10,1.8,624483.4192037471,old,0
hyderabad,manual,1,maruti,maruti ciaz,2016,vdi plus shvs,652000.0,2016,diesel,67905,1248,28.09,8,3.51125,504649.26094808127,old,1
hyderabad,manual,1,hyundai,hyundai santro,2019,sportz bsiv,496000.0,2019,petrol,19348,1086,20.3,5,4.0600000000000005,605200.0006153847,mid-age,0
hyderabad,manual,1,honda,honda amaze,2017,s i-vtec,650000.0,2017,petrol,35000,1198,17.8,7,2.542857142857143,624483.4192037471,mid-age,0
hyderabad,manual,1,hyundai,hyundai verna,2017,1.6 sx vtvt,789000.0,2017,petrol,30811,1591,17.01,7,2.43,605200.0006153847,mid-age,0
hyderabad,manual,2,maruti,maruti celerio x,2019,zxi,458000.0,2019,petrol,73227,998,21.63,5,4.326,504649.26094808127,mid-age,1
hyderabad,manual,2,tata,tata manza,2010,aura plus quadrajet bs iv,200000.0,2010,diesel,80000,1248,19.0,14,1.3571428571428572,748643.1780487805,old,0
hyderabad,manual,1,honda,honda brio,2012,v mt,311000.0,2012,petrol,90184,1198,19.4,12,1.6166666666666665,624483.4192037471,old,0
hyderabad,manual,1,maruti,maruti sx4 s cross,2021,zeta,1000000.0,2021,petrol,30000,1462,18.55,3,6.183333333333334,504649.26094808127,mid-age,0
hyderabad,manual,1,hyundai,hyundai verna,2016,1.6 sx vtvt,613000.0,2016,petrol,66039,1591,17.01,8,2.12625,605200.0006153847,old,0
hyderabad,manual,2,hyundai,hyundai xcent,2017,1.2 crdi e plus,390000.0,2017,diesel,120000,1186,25.4,7,3.6285714285714286,605200.0006153847,mid-age,1
hyderabad,manual,2,honda,honda city,2013,v mt,517000.0,2013,petrol,89205,1497,16.8,11,1.5272727272727273,624483.4192037471,old,0
hyderabad,manual,1,hyundai,hyundai venue,2020,sx sport imt,999000.0,2020,petrol,50000,998,18.0,4,4.5,605200.0006153847,mid-age,0
hyderabad,automatic,1,maruti,maruti baleno,2018,1.2 cvt alpha,740000.0,2018,petrol,80000,1197,21.4,6,3.5666666666666664,504649.26094808127,mid-age,0
hyderabad,manual,1,mg,mg hector,2020,smart diesel mt,1650000.0,2020,diesel,29000,1956,17.41,4,4.3525,1952518.0722891567,mid-age,0
hyderabad,automatic,1,bmw,bmw x1,2012,sdrive20d,1320000.0,2012,diesel,90000,1995,17.05,12,1.4208333333333334,3330939.5604395606,old,0
hyderabad,manual,1,tata,tata manza,2011,aura (abs) quadrajet bs iv,220000.00000000003,2011,diesel,120000,1248,21.12,13,1.6246153846153848,748643.1780487805,old,0
hyderabad,manual,2,fiat,fiat avventura,2015,multijet emotion,420000.0,2015,diesel,100000,1248,20.5,9,2.2777777777777777,288166.6666666667,old,0
hyderabad,automatic,1,maruti,maruti baleno,2017,1.2 cvt zeta,550000.0,2017,petrol,56962,1197,21.4,7,3.057142857142857,504649.26094808127,mid-age,0
hyderabad,automatic,1,skoda,skoda rapid,2015,1.5 tdi at elegance plus,550000.0,2015,diesel,90000,1498,21.66,9,2.4066666666666667,1001170.8860759494,old,1
hyderabad,manual,1,volkswagen,volkswagen polo,2018,1.0 mpi comfortline,502000.0,2018,petrol,101739,999,17.74,6,2.9566666666666666,703303.886925795,mid-age,0
hyderabad,manual,1,tata,tata tiago,2019,xz plus,552000.0,2019,petrol,69049,1199,23.84,5,4.768,748643.1780487805,mid-age,1
hyderabad,manual,1,maruti,maruti vitara brezza,2018,zdi,830000.0000000001,2018,diesel,110000,1248,24.3,6,4.05,504649.26094808127,mid-age,1
hyderabad,manual,1,honda,honda amaze,2017,vx petrol bsiv,579000.0,2017,petrol,56242,1199,19.5,7,2.7857142857142856,624483.4192037471,mid-age,0
hyderabad,manual,1,mahindra,mahindra xuv500,2018,w10 1.99 mhawk,1215000.0,2018,diesel,124281,1997,16.0,6,2.6666666666666665,930921.1267605633,mid-age,0
